,PCA1,PCA2,PCA3
price_change_percentage_24h,0.09626428488170702,-0.4551536758822919,0.34423269502609577
price_change_percentage_7d,0.37195969926654987,-0.14346686202631498,-0.24142441912560073
price_change_percentage_14d,0.3760074488437186,-0.08175596178885998,0.26405235823447837
price_change_percentage_30d,0.2472327735410655,0.12281371031234845,0.5574750208380624
price_change_percentage_60d,0.1398166251218061,0.26935171259851604,0.5530619610962282
price_change_percentage_200d,0.09649761241939879,0.5847544904344065,0.03532174888857246
price_change_percentage_1y,0.0322580776367891,0.5793301190538017,-0.17387664175493459
crypto_cluster,-0.7873833007138673,0.019328737584349776,0.3245886773644808
